STN_NO,STN_NAME,Latitude,Longitude
PE1,COVE LRT STATION,1.399281985,103.9059403
PE2,MERIDIAN LRT STATION,1.396912053,103.9089277
PE3,CORAL EDGE LRT STATION,1.393909226,103.9125574
PE4,RIVIERA LRT STATION,1.394524496,103.9161415
PE5,KADALOOR LRT STATION,1.399584853,103.9164619
PE6,OASIS LRT STATION,1.402286677,103.9127036
PE7,DAMAI LRT STATION,1.405234836,103.9085809
PTC,PUNGGOL LRT STATION,1.405194701,103.9023911
PW1,SAM KEE LRT STATION,1.409612685,103.9048099
PW2,TECK LEE LRT STATION,1.412770894,103.9065554
PW3,PUNGGOL POINT LRT STATION,1.41684852,103.9066284
PW4,SAMUDERA LRT STATION,1.415901719,103.9021353
PW5,NIBONG LRT STATION,1.411870458,103.9002935
PW6,SUMANG LRT STATION,1.408452426,103.8985387
PW7,SOO TECK LRT STATION,1.405088585,103.8971904
