Code,Name,ConnectedStops,Distances
PE1,Cove,"PE2, PTC","445, 1010"
PE2,Meridian,"PE1, PE3","445, 542"
PE3,Coral Edge,"PE2, PE4","542, 518"
PE4,Riviera,"PE3, PE5","518, 724"
PE5,Kadaloor,"PE4, PE6","724, 518"
PE6,Oasis,"PE5, PE7","518, 560"
PE7,Damai,"PE6, PTC","560, 814"
PTC,Punggol,"PE1, PE7, PW1, PW7","1100, 814, 457, 1013"
PW1,Sam Kee,"PW3, PTC","914, 457"
PW3,Punggol Point,"PW1, PW4","914, 564"
PW4,Samudera,"PW3, PW5","564, 499"
PW5,Nibong,"PW4, PW6","499, 426"
PW6,Sumang,"PW5, PW7","426, 367"
PW7,Soo Teck,"PW6, PTC","367, 1013"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
