name,postal code
Central Christian Church,828850
Church of the Transfiguration,828725
Dhammakaya Centre Singapore,828675
E-Bridge Infant Care & Childcare Centre,828683
Edgefield Primary School,828869
Edgefield Secondary School,828814
Global Indian International School (Punggol),828649
GM Food Centre,820198
GoCycling @ Punggol Jetty,829170
Gospel Light Christian Church,828753
Gourmet Paradise by Koufu,820681
Greendale Secondary School,828866
Horizon Primary School,828819
Marina Country Club,828670
Masjid Al-Islah,828812
Mee Toh School,828867
Metta Preschool,820194
Oasis Primary School,828716
Our Punggol West Container Library,821211
Outward Bound,828871
Punggol 21 Community Hub,828815
Punggol Cove Primary School,828674
Punggol East Container Park,828824
Punggol Family Service Centre,820616
Punggol Green Primary School,828772
Punggol Meadows Residents' Committee,824642
Punggol Meridian RC,820114
Punggol Neighbourhood Police Centre,828837
Punggol North Fire Post,821176
Punggol Plaza,820168
Punggol Secondary School,828870
Punggol Town Square,828726
Punggol View Primary School,828845
Punggol Vista Community Centre,820602
Punggol Waterway Park,821313
Punggol West Community Centre,823259
River of Life Community Church,829490
Riviera Prawn Fishin,828825
Rumah Atok,821227
SAFRA Punggol,828654
Social Innovation Park,828826
St Luke's ElderCare @ Sumang Lane,820222
The Growing Academy,829680
Waterway Point,828761
Waterway Primary School,828802
Worldwide Marriage Encounter,829651
Greendale Primary School,828848
Punggol Polyclinic,820681
